Transaction ID,Barber ID,Customer ID,Barbing Price,Transaction Date,Transaction Time,Hair Style,Customer Rating,Service Type
79,2,61445,500,2/21/2023,19:00,Fade,2, shave
80,5,10792,1000,12/8/2023,20:30,Low Cut,5,haircut
81,2,27153,1000,12/20/2023,20:00,Box Cut,2,haircut
82,4,71012,1000,10/15/2023,14:30,Low Cut,5,haircut
83,2,84608,1000,11/19/2023,16:45,Crew Cut,2,haircut
84,3,52550,1000,3/23/2023,19:00,Afro,2,haircut
85,2,56181,2000,12/29/2023,9:45,Twists,2,haircut
86,5,70547,500,11/24/2023,20:15,Low Cut,5, shave
87,5,87601,1000,10/22/2023,15:30,Box Cut,5,haircut
88,1,16592,500,3/4/2023,20:30,Afro,2, shave
89,3,32937,1000,8/5/2023,16:45,Mohawk,2,haircut
90,3,10623,1000,12/24/2023,20:15,Low Cut,2,haircut
91,1,51208,500,7/11/2023,10:00,Afro,2, shave
92,3,87251,1000,8/15/2023,17:15,Afro,2,haircut
93,4,28264,1000,4/27/2023,20:30,Low Cut,5,haircut
94,5,27204,1000,12/6/2023,12:45,Afro,5,haircut
95,5,70492,1000,11/3/2023,13:15,Low Cut,5,haircut
96,2,29635,500,3/11/2023,20:15,Afro,2, shave
97,2,45642,2000,8/20/2023,15:45,Twists,2,haircut
98,4,51105,500,4/30/2023,18:45,Dreadlocks,5, shave
99,3,68538,1000,5/27/2023,10:00,Low Cut,2,haircut
100,3,50195,1000,8/26/2023,14:00,Box Cut,2,haircut
101,2,81058,1000,10/4/2023,17:00,Afro,2,haircut
102,1,49717,500,10/21/2023,17:45,Afro,2, shave
103,1,10668,500,2/3/2023,13:30,Afro,2, shave
104,1,90143,500,9/3/2023,17:00,Afro,5, shave
105,3,56698,2000,8/7/2023,15:30,Twists,2,haircut
106,4,92418,1000,10/1/2023,18:15,Afro,3,haircut
107,5,8876,1000,10/18/2023,17:15,Low Cut,5,haircut
108,5,95028,1000,6/24/2023,19:45,Afro,5,haircut
109,5,90231,1000,4/22/2023,18:15,Cornrows,5,haircut
110,3,73751,500,7/5/2023,8:15,Low Cut,2, shave
111,2,932,1000,10/10/2023,20:30,Low Cut,2,haircut
112,3,12215,1000,11/25/2023,13:30,Low Cut,2,haircut
113,4,48444,1000,3/18/2023,17:30,Low Cut,5,haircut
114,4,48976,1000,7/17/2023,17:00,Low Cut,2,haircut
115,5,1528,2000,3/9/2023,20:30,Twists,4,haircut
116,3,41190,1000,8/27/2023,21:30,Afro,2,haircut
117,4,34575,1000,1/4/2023,13:30,Low Cut,5,haircut
118,2,15625,1000,12/7/2023,18:00,Afro,2,haircut
119,5,87239,1000,6/30/2023,9:15,Afro,5,haircut
120,4,25317,500,10/1/2023,16:15,Fade,2, shave
121,1,1665,500,11/18/2023,21:15,Afro,2, shave
122,4,23012,500,8/30/2023,19:00,Twists,5, shave
123,4,17521,1000,1/25/2023,18:00,Crew Cut,2,haircut
124,5,80882,1000,1/21/2023,14:45,Low Cut,2,haircut
125,5,98733,1000,10/18/2023,12:45,Low Cut,5,haircut
126,3,81765,1000,8/21/2023,19:45,Fade,2,haircut
127,4,35608,500,8/9/2023,19:30,Low Cut,4, shave
128,4,16585,1000,6/26/2023,16:30,Fade,5,haircut
129,4,8580,1000,2/15/2023,19:15,Low Cut,4,haircut
130,4,72363,1000,9/25/2023,19:45,Low Cut,2,haircut
131,5,47509,1000,7/5/2023,17:30,Afro,5,haircut
132,2,34879,1000,3/8/2023,13:30,Fade,2,haircut
133,1,76809,500,11/19/2023,13:00,Afro,2, shave
134,4,98301,500,10/6/2023,9:00,Low Cut,5, shave
135,4,73750,2000,7/8/2023,18:15,Dreadlocks,3,haircut
136,1,25195,500,12/22/2023,19:15,Afro,2, shave
137,5,39889,1000,1/21/2023,19:15,Low Cut,3,haircut
138,1,38530,500,4/23/2023,20:30,Afro,2, shave
139,3,37995,1000,3/13/2023,19:45,Cornrows,2,haircut
140,1,60172,500,1/14/2023,18:00,Afro,2, shave
141,3,7353,1000,2/21/2023,18:45,Low Cut,2,haircut
142,3,59571,1000,2/4/2023,17:15,Low Cut,2,haircut
143,1,14268,500,10/26/2023,17:15,Afro,2, shave
144,1,61502,500,5/5/2023,8:15,Afro,5, shave
145,5,62815,1000,12/22/2023,16:30,Low Cut,3,haircut
146,1,86883,1000,12/20/2023,19:30,Afro,2,haircut
147,5,28789,1000,7/3/2023,10:30,Afro,5,haircut
148,1,59384,1000,2/24/2023,16:30,Low Cut,2,haircut
149,1,87448,1000,5/2/2023,15:45,Crew Cut,2,haircut
150,2,18416,1000,3/28/2023,11:30,Low Cut,2,haircut
151,1,20000,1000,8/20/2023,21:45,Low Cut,5,haircut
152,1,50300,500,2/12/2023,18:45,Fade,2, shave
153,1,36074,2000,8/25/2023,13:30,Twists,2,haircut
154,3,11031,1000,1/9/2023,16:00,Fade,2,haircut
155,1,72262,1000,2/12/2023,20:30,Low Cut,15,haircut
156,5,56802,1000,10/27/2023,17:45,Low Cut,4,haircut
157,2,72046,1000,1/17/2023,20:15,Fade,2,haircut
158,5,85130,2000,5/25/2023,19:15,Dreadlocks,5,haircut
159,5,22942,1000,12/6/2023,15:00,Cornrows,3,haircut
160,1,43536,500,7/2/2023,13:00,Low Cut,2, shave
161,3,11224,1000,7/27/2023,18:45,Box Cut,2,haircut
162,1,1863,500,7/2/2023,10:00,Low Cut,5, shave
163,2,96667,1000,10/19/2023,16:45,Low Cut,2,haircut
164,4,71288,2000,2/10/2023,20:15,Twists,5,haircut
165,2,54226,1000,11/9/2023,19:15,Cornrows,2,haircut
166,5,22464,1000,6/30/2023,12:45,Mohawk,2,haircut
167,3,73411,500,6/3/2023,20:45,Low Cut,2, shave
168,4,9925,1000,3/2/2023,13:45,Afro,4,haircut
169,3,39013,1000,6/5/2023,20:00,Low Cut,2,haircut
170,5,15368,2000,5/20/2023,20:30,Dreadlocks,5,haircut
171,3,23657,1000,11/21/2023,20:45,Low Cut,2,haircut
172,5,43303,1000,4/19/2023,20:15,Afro,5,haircut
173,4,15393,2000,6/27/2023,15:30,Dreadlocks,5,haircut
174,3,99434,500,2/9/2023,19:45,Fade,2, shave
175,5,78773,1000,8/30/2023,21:15,Low Cut,5,haircut
176,2,76561,1000,2/20/2023,19:45,Crew Cut,2,haircut
177,2,58990,2000,11/7/2023,15:45,Dreadlocks,2,haircut
178,5,30878,1000,4/17/2023,17:15,Low Cut,3,haircut
179,1,49403,1000,12/21/2023,20:30,Mohawk,2,haircut
180,5,44825,1000,7/6/2023,15:00,Fade,4,haircut
181,3,81643,1000,11/7/2023,17:00,Crew Cut,2,haircut
182,4,19458,1000,7/1/2023,19:45,Box Cut,2,haircut
183,1,68225,1000,8/27/2023,13:45,Low Cut,2,haircut
184,3,15499,500,3/4/2023,21:45,Twists,2, shave
185,1,68620,1000,1/8/2023,13:45,Afro,5,haircut
186,2,25136,500,7/6/2023,17:15,Dreadlocks,2, shave
187,2,23816,500,11/26/2023,19:30,Twists,2, shave
188,3,39317,1000,11/26/2023,20:30,Low Cut,2,haircut
189,5,84295,1000,9/29/2023,17:45,Crew Cut,5,haircut
190,2,17492,500,12/7/2023,19:30,Crew Cut,2, shave
191,4,54493,500,11/19/2023,13:45,Dreadlocks,2, shave
192,3,3735,1000,5/11/2023,19:45,Low Cut,2,haircut
193,3,30129,1000,10/23/2023,12:30,Box Cut,2,haircut
194,1,83337,2000,7/14/2023,15:15,Dreadlocks,5,haircut
195,3,82999,1000,2/9/2023,12:30,Afro,2,haircut
196,3,17881,2000,9/11/2023,21:45,Twists,2,haircut
197,1,242,1000,10/30/2023,15:45,Low Cut,2,haircut
198,3,39600,500,12/27/2023,20:15,Low Cut,2, shave
199,5,85318,1000,3/2/2023,13:30,Crew Cut,5,haircut
200,1,18354,1000,3/24/2023,18:00,Low Cut,5,haircut
201,1,7271,1000,3/1/2023,20:00,Low Cut,2,haircut
202,1,82350,1000,2/26/2023,11:00,Afro,2,haircut
203,1,20122,1000,9/7/2023,17:30,Low Cut,2,haircut
204,3,65853,1000,12/16/2023,12:30,Low Cut,2,haircut
205,4,53130,1000,1/27/2023,10:15,Low Cut,2,haircut
206,5,56771,1000,11/2/2023,17:45,Low Cut,4,haircut
207,3,1365,1000,4/14/2023,17:30,Afro,2,haircut
208,4,44038,500,12/9/2023,11:30,Fade,5, shave
209,3,17288,2000,9/10/2023,13:45,Twists,2,haircut
210,3,41186,500,11/3/2023,13:45,Afro,2, shave
211,3,23822,2000,2/15/2023,18:15,Dreadlocks,2,haircut
212,3,65322,1000,5/13/2023,11:45,Low Cut,2,haircut
213,2,36433,500,2/12/2023,15:30,Low Cut,2, shave
214,4,52110,1000,7/10/2023,12:30,Low Cut,2,haircut
215,4,68602,500,9/11/2023,17:00,Box Cut,2, shave
216,5,19693,1000,8/9/2023,13:45,Fade,5,haircut
217,1,1029,1000,9/27/2023,12:45,Cornrows,2,haircut
218,1,60074,1000,10/15/2023,17:45,Low Cut,2,haircut
219,4,65404,1000,3/25/2023,21:45,Afro,2,haircut
220,4,47272,1000,1/17/2023,18:00,Crew Cut,5,haircut
221,5,36535,1000,1/18/2023,20:30,Cornrows,4,haircut
222,5,25373,500,6/5/2023,15:00,Low Cut,5, shave
223,2,37492,500,7/22/2023,14:30,Dreadlocks,2, shave
224,2,21397,500,4/27/2023,21:00,Low Cut,2, shave
225,4,30689,1000,4/8/2023,11:15,Afro,2,haircut
226,2,37404,500,12/3/2023,18:45,Afro,2, shave
227,4,70605,1000,12/12/2023,12:15,Low Cut,5,haircut
228,3,58642,2000,1/8/2023,16:30,Twists,2,haircut
229,2,57385,500,3/8/2023,20:30,Afro,2, shave
230,4,58689,1000,12/12/2023,11:15,Low Cut,4,haircut
231,1,42021,1000,5/17/2023,18:30,Crew Cut,2,haircut
232,3,32665,500,7/10/2023,12:30,Low Cut,2, shave
233,5,42927,1000,6/9/2023,17:45,Fade,5,haircut
234,2,35889,500,10/29/2023,18:00,Low Cut,2, shave
235,3,24004,1000,3/21/2023,19:15,Low Cut,2,haircut
236,3,92813,1000,6/13/2023,15:45,Fade,2,haircut
237,2,45677,500,11/23/2023,17:00,Twists,2, shave
238,1,84269,1000,11/3/2023,13:15,Box Cut,5,haircut
239,4,25846,500,8/5/2023,20:30,Fade,2, shave
240,5,78739,1000,6/13/2023,18:15,Fade,2,haircut
241,2,71427,500,7/24/2023,20:00,Low Cut,2, shave
242,4,34350,2000,8/12/2023,8:00,Dreadlocks,5,haircut
243,3,67165,1000,9/3/2023,17:00,Afro,2,haircut
244,2,81527,1000,10/29/2023,13:00,Box Cut,2,haircut
245,2,71330,2000,7/24/2023,19:30,Twists,15,haircut
246,3,27677,500,3/11/2023,18:00,Low Cut,2, shave
247,4,45517,1000,7/2/2023,15:00,Low Cut,5,haircut
248,2,60311,1000,9/1/2023,16:45,Low Cut,2,haircut
249,2,25226,1000,2/21/2023,18:30,Low Cut,2,haircut
250,5,57626,1000,9/5/2023,12:45,Low Cut,2,haircut
251,3,89886,2000,7/23/2023,17:15,Twists,5,haircut
252,2,90951,1000,2/19/2023,19:00,Afro,2,haircut
253,4,93129,1000,1/2/2023,18:00,Low Cut,5,haircut
254,5,22469,1000,7/29/2023,19:30,Low Cut,5,haircut
255,2,13957,2000,2/25/2023,21:00,Dreadlocks,2,haircut
256,2,24290,500,8/12/2023,16:00,Low Cut,2, shave
257,3,36840,2000,1/24/2023,15:45,Twists,2,haircut
258,5,28203,500,7/16/2023,13:45,Twists,5, shave
259,4,40951,1000,8/19/2023,20:15,Low Cut,5,haircut
260,5,6314,1000,4/4/2023,19:30,Afro,3,haircut
261,3,35522,1000,4/13/2023,13:15,Afro,2,haircut
262,5,20921,1000,7/14/2023,15:30,Low Cut,4,haircut
263,3,58321,500,10/22/2023,20:15,Dreadlocks,2, shave
264,5,97368,1000,7/31/2023,17:30,Low Cut,3,haircut
265,1,43627,1000,1/11/2023,18:15,Low Cut,2,haircut
266,2,53371,1000,10/5/2023,15:45,Low Cut,2,haircut
267,1,90165,1000,11/21/2023,20:15,Low Cut,5,haircut
268,5,59491,1000,12/23/2023,18:15,Fade,2,haircut
269,2,37982,2000,6/10/2023,19:00,Twists,2,haircut
270,1,57004,500,11/23/2023,19:00,Low Cut,5, shave
271,5,77298,1000,7/30/2023,19:15,Box Cut,5,haircut
272,3,63155,2000,7/29/2023,19:00,Twists,2,haircut
273,1,92650,1000,10/2/2023,18:45,Low Cut,5,haircut
274,5,65997,1000,5/27/2023,10:15,Box Cut,3,haircut
275,1,13424,2000,2/28/2023,15:30,Dreadlocks,5,haircut
276,5,15628,1000,8/30/2023,16:00,Low Cut,5,haircut
277,1,45325,1000,11/8/2023,13:45,Low Cut,5,haircut
278,5,20072,1000,2/23/2023,18:30,Cornrows,5,haircut
279,2,60682,1000,5/13/2023,19:30,Low Cut,2,haircut
280,5,79825,500,6/15/2023,19:30,Low Cut,5, shave
281,1,83530,1000,1/27/2023,20:30,Cornrows,5,haircut
282,4,52933,500,6/19/2023,19:15,Mohawk,5, shave
283,4,21087,1000,7/14/2023,16:15,Cornrows,5,haircut
284,4,60030,1000,9/10/2023,19:30,Low Cut,5,haircut
285,2,6193,2000,8/13/2023,18:15,Twists,2,haircut
286,4,30022,2000,1/14/2023,21:00,Dreadlocks,3,haircut
287,5,13069,500,4/17/2023,20:30,Afro,3, shave
288,4,6537,1000,1/27/2023,14:45,Cornrows,5,haircut
289,2,40562,2000,5/31/2023,13:00,Twists,2,haircut
290,5,54505,1000,12/26/2023,13:00,Box Cut,5,haircut
291,4,93185,1000,2/23/2023,20:00,Fade,2,haircut
292,5,56507,2000,3/5/2023,13:45,Twists,4,haircut
293,2,15334,1000,9/23/2023,19:30,Low Cut,2,haircut
294,2,67184,500,10/7/2023,20:30,Box Cut,2, shave
295,2,81278,500,10/30/2023,17:30,Crew Cut,2, shave
296,4,80768,1000,3/9/2023,20:45,Afro,4,haircut
297,4,39887,1000,10/23/2023,16:00,Low Cut,2,haircut
298,4,99736,2000,8/2/2023,16:30,Dreadlocks,5,haircut
299,3,23194,2000,5/21/2023,15:00,Dreadlocks,2,haircut
300,5,86037,1000,3/18/2023,18:45,Low Cut,5,haircut
301,4,48762,1000,8/17/2023,14:15,Afro,3,haircut
302,1,92018,1000,2/26/2023,20:30,Low Cut,5,haircut
303,4,83692,1000,5/12/2023,18:30,Fade,5,haircut
304,2,92411,500,1/25/2023,15:15,Dreadlocks,2, shave
305,5,80522,2000,1/10/2023,16:00,Twists,5,haircut
306,1,48756,1000,11/19/2023,14:15,Afro,5,haircut
307,5,37266,1000,7/16/2023,16:15,Fade,2,haircut
308,1,97417,1000,10/8/2023,20:45,Afro,5,haircut
309,2,99341,500,2/4/2023,9:45,Afro,2, shave
310,4,67617,1000,1/11/2023,16:15,Low Cut,3,haircut
311,1,44223,1000,9/8/2023,18:45,Low Cut,5,haircut
312,2,32016,500,2/12/2023,17:30,Low Cut,2, shave
313,5,94164,1000,3/18/2023,20:00,Afro,5,haircut
314,2,15141,500,1/14/2023,20:45,Dreadlocks,2, shave
315,5,13055,1000,4/17/2023,14:45,Crew Cut,5,haircut
316,2,40232,500,11/26/2023,21:15,Twists,2, shave
317,4,76171,1000,5/3/2023,17:15,Afro,5,haircut
318,5,33460,2000,10/2/2023,10:15,Dreadlocks,3,haircut
319,2,80303,500,7/7/2023,21:00,Low Cut,2, shave
320,4,56599,500,11/8/2023,15:15,Fade,5, shave
321,4,46156,2000,3/5/2023,12:45,Dreadlocks,2,haircut
322,4,66763,500,10/26/2023,13:30,Low Cut,4, shave
323,3,84973,1000,4/8/2023,17:45,Low Cut,2,haircut
324,1,99386,1000,10/20/2023,21:45,Afro,5,haircut
325,2,56917,500,8/6/2023,18:15,Afro,2, shave
326,1,20263,1000,10/18/2023,15:00,Afro,5,haircut
327,1,83677,500,9/8/2023,16:45,Low Cut,5, shave
328,4,76677,1000,7/20/2023,19:45,Low Cut,5,haircut
329,2,48774,500,11/11/2023,20:00,Box Cut,2, shave
330,4,35317,1000,3/11/2023,13:45,Low Cut,5,haircut
331,2,5610,500,11/27/2023,17:30,Box Cut,2, shave
332,4,25162,1000,10/17/2023,18:00,Fade,5,haircut
333,3,49510,1000,11/12/2023,14:45,Low Cut,2,haircut
334,3,85522,500,12/23/2023,15:45,Low Cut,2, shave
335,3,54722,1000,7/15/2023,16:30,Afro,2,haircut
336,1,38379,1000,11/27/2023,13:00,Low Cut,5,haircut
337,5,74961,2000,7/31/2023,19:15,Dreadlocks,5,haircut
338,3,68607,1000,7/7/2023,20:45,Fade,2,haircut
339,1,88915,1000,12/23/2023,14:30,Low Cut,5,haircut
340,4,77327,1000,1/13/2023,17:45,Low Cut,5,haircut
341,5,46781,1000,8/6/2023,18:15,Low Cut,5,haircut
342,1,37881,1000,5/24/2023,10:15,Low Cut,5,haircut
343,4,22547,2000,12/10/2023,17:15,Dreadlocks,5,haircut
344,2,48823,500,12/2/2023,20:45,Twists,2, shave
345,1,94144,1000,12/16/2023,18:00,Low Cut,5,haircut
346,5,43459,500,1/25/2023,17:45,Dreadlocks,5, shave
347,1,37610,1000,3/1/2023,18:30,Low Cut,5,haircut
348,3,50678,1000,2/2/2023,11:15,Box Cut,2,haircut
349,4,75152,1000,5/16/2023,18:00,Low Cut,5,haircut
350,2,89814,500,1/14/2023,11:15,Fade,2, shave
351,2,59261,500,5/28/2023,20:30,Low Cut,2, shave
352,2,4597,1000,4/1/2023,18:45,Fade,2,haircut
353,2,558,1000,2/16/2023,19:00,Box Cut,2,haircut
354,4,59766,1000,5/23/2023,20:15,Afro,5,haircut
355,2,66654,2000,9/6/2023,14:45,Dreadlocks,2,haircut
356,3,58756,1000,12/28/2023,12:45,Afro,2,haircut
357,4,87107,1000,4/21/2023,16:30,Crew Cut,5,haircut
358,1,87727,500,10/18/2023,15:30,Low Cut,5, shave
359,2,49216,1000,12/10/2023,8:15,Low Cut,2,haircut
360,2,58195,1000,6/8/2023,14:15,Low Cut,2,haircut
361,5,24707,1000,8/22/2023,16:30,Low Cut,5,haircut
362,3,10915,1000,11/17/2023,18:30,Cornrows,2,haircut
363,4,46520,1000,1/26/2023,17:30,Low Cut,4,haircut
364,2,77435,1000,11/4/2023,21:30,Low Cut,2,haircut
365,3,38463,1000,12/1/2023,14:30,Low Cut,2,haircut
366,2,34386,2000,1/29/2023,18:45,Dreadlocks,2,haircut
367,2,10205,1000,6/18/2023,20:15,Low Cut,2,haircut
368,4,64421,500,10/8/2023,9:30,Fade,5, shave
369,3,85849,1000,7/30/2023,13:45,Low Cut,2,haircut
370,1,18621,500,12/31/2023,19:15,Afro,5, shave
371,2,30998,1000,12/8/2023,18:00,Low Cut,2,haircut
372,4,4273,1000,1/16/2023,19:45,Low Cut,5,haircut
373,3,70805,1000,12/5/2023,17:00,Low Cut,2,haircut
374,5,3991,1000,11/25/2023,17:30,Low Cut,2,haircut
375,2,71303,500,10/29/2023,14:00,Fade,2, shave
376,5,53597,1000,12/5/2023,20:45,Afro,5,haircut
377,3,63793,1000,11/12/2023,18:15,Low Cut,2,haircut
378,3,86921,2000,11/28/2023,15:15,Dreadlocks,2,haircut
379,2,54082,2000,6/30/2023,10:30,Twists,2,haircut
380,3,98978,1000,9/16/2023,12:00,Low Cut,2,haircut
381,1,14519,1000,6/10/2023,12:45,Afro,5,haircut
382,4,44079,500,6/21/2023,14:15,Dreadlocks,5, shave
383,3,39388,2000,9/29/2023,21:45,Dreadlocks,2,haircut
384,3,17865,2000,2/26/2023,13:45,Dreadlocks,2,haircut
385,5,55905,1000,2/17/2023,10:00,Low Cut,5,haircut
386,2,69289,1000,5/15/2023,16:30,Afro,2,haircut
387,5,73283,1000,3/11/2023,20:45,Low Cut,2,haircut
388,1,29331,2000,11/10/2023,16:45,Dreadlocks,5,haircut
389,4,29013,2000,2/22/2023,19:30,Dreadlocks,4,haircut
390,4,64134,1000,3/4/2023,17:15,Afro,5,haircut
391,5,83024,1000,6/13/2023,9:30,Low Cut,2,haircut
392,4,20318,500,8/3/2023,20:15,Crew Cut,5, shave
393,1,4289,1000,4/23/2023,15:30,Low Cut,5,haircut
394,4,90803,500,2/25/2023,16:15,Low Cut,3, shave
395,3,9887,2000,7/27/2023,17:30,Dreadlocks,2,haircut
396,5,60219,2000,11/22/2023,9:15,Dreadlocks,3,haircut
397,1,23994,2000,1/3/2023,18:00,Twists,5,haircut
398,5,1724,1000,10/4/2023,19:30,Low Cut,5,haircut
399,4,39067,500,11/23/2023,15:15,Afro,3, shave
400,2,97038,1000,6/18/2023,17:45,Low Cut,2,haircut
401,4,3985,2000,4/16/2023,18:30,Twists,5,haircut
402,4,64336,1000,2/28/2023,17:00,Crew Cut,5,haircut
403,2,49425,1000,5/12/2023,17:15,Afro,2,haircut
404,3,86985,1000,3/5/2023,16:30,Low Cut,2,haircut
405,3,37817,1000,8/31/2023,18:30,Crew Cut,2,haircut
406,3,75299,500,12/17/2023,19:00,Mohawk,2, shave
407,3,81184,1000,10/8/2023,16:45,Fade,2,haircut
408,3,18178,2000,10/22/2023,20:00,Dreadlocks,2,haircut
409,1,9616,1000,12/2/2023,15:30,Fade,5,haircut
410,4,94075,1000,6/22/2023,14:00,Afro,5,haircut
411,3,64962,1000,11/29/2023,9:45,Low Cut,2,haircut
412,3,79338,1000,7/22/2023,19:00,Low Cut,2,haircut
413,5,46314,2000,11/30/2023,14:30,Dreadlocks,2,haircut
414,2,13813,1000,1/26/2023,20:15,Afro,2,haircut
415,2,26339,1000,1/16/2023,15:30,Low Cut,2,haircut
416,4,44658,500,4/19/2023,15:45,Fade,5, shave
417,1,52974,1000,5/22/2023,16:00,Box Cut,5,haircut
418,2,38983,500,8/23/2023,17:30,Twists,2, shave
419,2,81836,1000,10/26/2023,17:15,Low Cut,2,haircut
420,4,52537,1000,1/11/2023,17:45,Afro,5,haircut
421,5,16609,1000,12/25/2023,14:00,Low Cut,5,haircut
422,2,80928,1000,6/18/2023,18:00,Low Cut,2,haircut
423,3,77439,500,4/2/2023,18:45,Low Cut,2, shave
424,2,95579,1000,9/28/2023,13:30,Low Cut,2,haircut
425,4,10962,1000,7/8/2023,20:45,Low Cut,2,haircut
426,1,15282,1000,3/12/2023,17:30,Mohawk,5,haircut
427,4,32699,1000,6/25/2023,17:00,Low Cut,5,haircut
428,2,86005,1000,6/6/2023,9:15,Low Cut,2,haircut
429,1,99200,1000,4/17/2023,17:30,Box Cut,5,haircut
430,4,48776,500,11/15/2023,17:15,Afro,2, shave
431,2,95571,1000,4/28/2023,14:45,Low Cut,2,haircut
432,1,24509,1000,9/15/2023,12:00,Low Cut,5,haircut
433,3,10268,1000,7/20/2023,17:15,Afro,2,haircut
